,meme_stock,ticker,price_2020-12-01,wsv_2020-12-01,price_2020-12-16,wsv_2020-12-16,price_2021-01-04,wsv_2021-01-04,price_2021-01-20,wsv_2021-01-20,regularMarketPrice,logo_url,trailingPegRatio,zip,sector,fullTimeEmployees,city,state,country,maxAge,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneShortName,isEsgPopulated,quoteType,market,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,legalType,lastDividendDate,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,impliedSharesOutstanding,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,averageVolume10days,dividendRate,exDividendDate,startDate,regularMarketDayLow,trailingPE,regularMarketVolume,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,fax
56,False,FMX,69.80797642892163,0,74.68009185208788,0,72.99507048345367,0,72.38847425826444,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,False,ENB,27.86316845905098,0,29.548122108422916,0,28.38971405132567,0,30.952248043043177,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,False,JNJ,139.04074389076297,0,142.7570006512891,0,149.4481473342001,0,155.11280861819068,1,,,3.7914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,False,SOUNW,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,False,DS,1.690000057220459,2,2.7100000381469727,2,2.4600000381469727,1,2.4800000190734863,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,False,SCTL,2.430000066757202,0,3.1500000953674316,0,2.930000066757202,0,3.0799999237060547,0,1.41,https://logo.clearbit.com/societalcdmo.com,,19341,Healthcare,258.0,Exton,PA,United States,1.0,Drug Manufacturers—Specialty & Generic,0.11452,-0.14811,0.25945,-1195000.0,0.184,0.02237,10105000.0,2.0,strong_buy,19823000.0,-7161250.0,4.0,1.41,,3.49,0.00798,3.0,4.0,297.749,-0.32788,6.0,11577000.0,104909000.0,88238000.0,0.204,USD,1.564,2.686,1.3,NCM,"Societal CDMO, Inc.","Societal CDMO, Inc.",EST,False,EQUITY,us_market,1.983,,17.316,-0.105590045,,-0.2,,56700600.0,,,,0.622,505779.0,0.0089,,1640908800.0,0.53863996,-13069000.0,-0.26,,-0.14654392,2.266881,0.11698,1703980800.0,,1664496000.0,9.45,1667174400.0,41216775.0,0.675287,174980816.0,4.0,,,,,0.9060478,1669766400.0,-0.42,,-7.0499997,,0.0095,429750.0,0.0,,1.44,1.45,1.33762,0.0,0.0,,1.45,,216570.0,1.44,1.6231,0.0,1.45,216570.0,,,,1.38,,7218.0,,79947848.0,,,84953.0,1.38,1.43,1800.0,7218.0,2.19,,0.62,1.41,False,,1200.0,1.45,
62,False,CARV,7.239999771118164,0,6.670000076293945,0,6.539999961853027,0,7.829999923706055,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,False,ETW,7.974482536315918,1,8.050029985122194,0,8.19545861296181,1,8.389981922580692,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,False,DHT,4.988090721169515,1,5.32512353980386,0,5.0843860900928775,0,5.344382902741878,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,False,CLIN,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
